,Job_title,company,location,skills_required
111,Senior Test Engineer,Coddle Technologies Pvt Ltd - Full-time,Kozhikode ( Calicut ),"Java,Automation Testing,Selenium,GIT,Jenkins,manual testing,TestNG,JIRA,mavens,Must have hands-on experience in Selenium Automation using > Core Java with Cucumber/TestNG framework & Maven,Core Java; Selenium; API Testing; BDD/TDD; JBehave; Cucumber"
112,PHP Developer - CodeIgniter,Coddle Technologies Pvt Ltd - Full-time,Kozhikode ( Calicut ),"PHP,MySQL,Bootstrap,Rest API,HTML,CSS,Codeigniter,JavaScript jQuery AJAX"
113,UI - UX Designer,Coddle Technologies Pvt Ltd - Full-time,Kozhikode ( Calicut ),"Photoshop,Illustrator,Figma ,HTML,CSS,adobeXD"
114,Asst. Manager - HR Recruitment,Jaivam Life LLP - Full-time,Kochi,IT Recruitment
115,DEVOPS ENGINEER,Enroute Corporate Soltuions - Full-time,Kochi,"DevOps,Azure,Docker,CI/CD"
116,Node.js Trainee,Skyewall - Full-time,Kochi,"Typescript,SQL,Rest API,Node.js,MEAN stack"
117,Node.js developer,Skyewall - Full-time,Kochi,"Typescript,SQL,Rest API,Node.js,Mean stack"
118,Full Stack Developers (Urgent),Cetacean Business Solutions LLP - Full-time,Trivandrum,"Angular,SQL,MVC,.NET/C#,asp.net mvc ,NodeJS,Javascript, Typescript,OOPS concepts,relational databases"
119,Android System Developer (Immediate),Cetacean Business Solutions LLP - Full-time,Bangalore,"Agile Scrum,Git,Linux OS,C/C++,OOP, SOLID and Design Patterns.,android system,android app,jerrit"
120,Marine Engineer (Fresher/Trainee - Immediate),Cetacean Business Solutions LLP - Full-time,Kochi,"logistics,mechanical,marine,sailing"
